,Tweets
538,@Ethirajans Bjp first Rajini..didn't work..now with alagiri..Ena pannalum onnum inga pudungamudiyadhu. Social media… https://t.co/H8KOEnDbAi
539,@FirstMediaCares Jarak dari modem ke kmar saya cuma sebelah2an min dan saya sudah pakai first media bbrp tahun bru… https://t.co/FnFNYW8F06
540,"My first ever korean media exposure, 무술소년 꼬망.
Susah banget nemu artikel bahasa inggris nyam bahasa korea semua, kyk… https://t.co/qsdEiqhzv1"
541,First media anying lemotnya kalau udh mau abis
542,"@styaputrap.  Selamat Malam First People, mohon maaf atas ketidaknyamanannya. Saat ini kami cek Bapak Putra belum b… https://t.co/YZN7d91GoQ"
543,Ala lupa buat caption first media in 2021 🥺 https://t.co/codI5AmtN0
544,"@Shakezpearee Hi First People, mohon maaf untuk pemutusan berhenti berlangganan tidak bisa diproses melalui twitter… https://t.co/yd2JpKNWOT"
545,@FirstMediaCares selamat malam min. Saya pelanggan first media mau konfirmasi pemutusan apakah bisa langsung di proses
546,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
547,Sudah cape komplain  ke first media  tapi tidak ada kepastian kapan bisa normal kembali
548,FIRST MEDIA GASOPAN!!!!! LAGI KOMPLAIN LANGSUNG DI TUTUP PAYAH PELAYANAN DAN INTERNET SAMA2 PAYAH @FirstMediaCares
549,LAGI KOMPLAIN LANGSUNG DI TUTUP KURANG AJAR FIRST MEDIA @FirstMediaCares
550,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
551,"@FirstMediaCares FIRST MEDIA KURANG AJAR, LAGI NELPON LANGSUNG DITUTUP"
552,@FirstMediaCares Maaf jaringan first media eror
553,"@FirstMediaCares apakah first media ada paket internet saja?,,, Saya pengguna paket family jika ada bagai mana cara… https://t.co/PlBKDF4bZw"
554,"@FirstMediaCares min first media rumah saya eror terus , tiap bulan terus erornya-_-"
555,@FirstMediaCares ini kenapa lagi? ping spiking udah beberapa jam. Di website first media tidak ada keterangan apa-a… https://t.co/gOeuDCqrMR
556,First media kenapa km
557,@ChristiantoGun4 Hi First People. Mohon maaf atas kendala yg dialami. Saat ini sdg terjadi kendala jaringan area. S… https://t.co/dZwDA4m4cd
558,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
559,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
560,@nauraaa181 Hi First People. Terima kasih telah berlangganan layanan First Media dan mohon maaf atas ketidaknyamanan sebelumnya. Tks ^Fjr
561,RT @disko_darurat: Musuh first media adalah hujan
562,@Mochakmalfauzan Hi First People. Terimakasih atas informasinya. Terimakasih telah berlangganan First Media. Tks ^ang
563,Musuh first media adalah hujan
564,"@harrianggoro Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
565,@nzifa_ Bissmillah first media erk
566,"@ayuusara Selamat malam First People, mhn maaf atas ketidaknyamanannya. Mhn pastikan input TV sdh di AV-1/AV-2 atau… https://t.co/1C0Ga8lR67"
567,"@angelsandraa Hi First People, mhn maaf atas ketidaknyamanannya. Mhn pastikan input TV sdh di AV-1/AV-2 atau HDMI-1… https://t.co/GrxligwHbw"
568,"@FirstMediaCares min, first media di kalideres lagi mati ya min ? Dari siang mati ga nyala2 sampe sekarang :("
569,"First media aneh cok, sinyal mek 2 wes gaisok di gae buka opo”. Haruse kan sek isok. Taek"
570,KENAPA SIH FIRST MEDIA TUH GABISA AJA SEHARI LANCAR TOTAL😭
571,@Jakwanamir lalu lakukan tes speed ke situs https://t.co/gbesPqFKMl pilih server First Media kota terdekat. Lakukan… https://t.co/Yxo4FQaztS
572,"@FirstMediaCares halo min, aku pengen berlangganan dengan first media tapi aku tidak tau wilayah ku udah tercover a… https://t.co/WhIr31dzPh"
573,@gapernahmikir first media emg rada2 gitude makany skrg gw ganti indomi tp gtw jgde
574,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
575,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
576,"@FirstMediaCares 
Dear First Media, 
Ini tertulis warning, sim-card expired... Bagaimana? Per kapan? Mohon dibantu ya... Thanks"
577,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
578,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
579,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
580,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
581,@haruandhae Hi First People. Terima kasih atas informasinya. Untuk jadwal kedatangan teknisi akan kami batalkan. Te… https://t.co/pc4CbQMIA4
582,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
583,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
584,"@FirstMediaCares Akhirnya Setelah menunggu 1x24 jam untuk ke sekian kali, kami memutuskan untuk BERHENTI LANGGANAN… https://t.co/KgDcIU565u"
585,baru jg 5 menit first media bener eh error lg🙏🏻
586,@tersayanq  lalu lakukan tes speed ke situs https://t.co/gbesPqFKMl pilih server First Media kota terdekat. Lakukan… https://t.co/lCEHyw5JU9
587,@harukyutipie Hi First People. Terimakasih atas informasinya. Terimakasih telah berlangganan First Media. Tks ^ang
588,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
589,not first media berulah lg
590,@dies1807 Hi First People. Mhn maaf atas ketidaknyamanannya dan terima kasih tlh berlangganan First Media. Tks ^Yos
591,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
592,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
593,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
594,"@pevitaluv Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
595,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
596,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
597,"RT @Goenawan35: Semalam #Bitcoin alias $BTC kembali mencetak Harga Tertinggi Sepanjang Masa hampir mencapai $33K per #Coin 

Apakah #ATH da…"
598,"@_ssamintiarto Hi First People, terima kasih atas konfirmasinya dan selamat menggunakan layanan First Media. ^RQ"
599,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
600,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
601,"RT @omekopiwaa: Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
602,"Bismillah first media😫

insekiyo dtg aku delete https://t.co/aqKQK98sxm"
603,"first media,,, apa gabisa open all chanel nya di perpanjang sampe tanggal 11? PERPANJANG FLISH 😭😭😭 @FirstMediaCares"
604,@ahgaho3 Hi First People. Mohon maaf atas kendala yg dialami. Saat ini sedang terjadi kendala jaringan di area seki… https://t.co/CRafUpzg3W
605,@jjenniyaaa berlangganan layanan First Media dan pastikan sudah melunasi tagihannya. Terima kasih (2/2) ^nlv
606,@redipseul Selamat sore First People. Terimakasih atas informasinya dan mohon maaf atas ketidaknyamana yang dialami… https://t.co/70cuCYpO0o
607,@erv_fina Selamat sore First People. Mohon maaf sebelumnya ya. Mohon infokan 8 digit nomor pelanggannya via DM. Unt… https://t.co/kyUekzpxYY
608,@FirstMediaCares hallo admin mau tanya apakah pada layanan first media tidak ada channel rcti?
609,@FirstMediaCares min boleh minta tolong dicek tadi CS First Media sudah telepon menanyakan internet sudah bisa. Tap… https://t.co/qgcR22Qys9
610,@FirstMediaCares tolong donk no.pelanggan 46496602 area pondok bambu jakarta timur...gangguaaaaaan melulu...diperce… https://t.co/PXtLD1ET57
611,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
612,"@stradiviraus Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
613,"@FirstMediaCares please deh First Media sering banget sih mati...daerah pisangan raya cireundeu,tiap bulan pst mati… https://t.co/XBWiUfRqVJ"
614,@iwha_poenya Hi First People. Mohon maaf atas kendala yg dialami. Saat ini sedang terjadi kendala jaringan di area… https://t.co/JLsNxQnHbS
615,RT @axkfpe: muka taksiap lagi ni..huaa first media sementara confident 😭insecure nanti delete hshs https://t.co/9zMu2MZQcl
616,RT @Sidqyazis_: Admit pernah curi your first media . But dah delete dah . Hahaha
617,"@sukasukakusaja  Hi First People , Masukkan First ID yang sudah linked dengan account First Media selanjutnya Masuk… https://t.co/Dl0pyIqYM6"
618,"@diahnursanty HI First People, mohon maaf saat ini Apartement Kalibata City belum terjangkau jaringan First Media.… https://t.co/d4due4PkLz"
619,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
620,"@FirstMediaCares halo kak, mau tanya first media cover area di apartemen kalibata city tower gaharu?"
621,"@Verryzaph2 Hi First People, kami cek layanan First Media di area terindikasi gangguan jaringan dan telah kami tind… https://t.co/0xBLQ55qHz"
622,@FirstMediaCares min mau tnaya dong untuk aktivasi aplikasi my first media nya gimana ya?
623,Admit pernah curi your first media . But dah delete dah . Hahaha
624,ANJING KELAR BARU LANCAR WIFINYA BANGSAT FIRST MEDIA YAALLAH MAU NANGIS
625,first media anjing bgt mau kelar fak kenapa nge lag sih asu https://t.co/TAAhWAvpe9
626,@Bernade11462516 Hi First People. Terima kasih telah berlangganan layanan First Media dan mohon maaf atas ketidakny… https://t.co/AroLoEOrP4
627,"@msumarr6 Hi First People. Baik, terima kasih ya sdh berlangganan First Media dan mhn maaf utk ketidaknyamanan sblmnya. Salam. ^gkh"
628,"RT @Beritasatu: Hi guys! Untuk kamu yang lagi cari beasiswa, UPH bekerja sama dengan Berita Satu dan PT. Link Net, tbk (First Media)  bagi-…"
629,@GyuuPotter kakak pake apa? aku pake first media tp ini tumben lemot 😭
630,"@exlfols Selamat siang First People. Baik, terima kasih ya sdh berlangganan First Media dan mhn maaf utk ketidaknya… https://t.co/0dC7Uhya3p"
631,"Hi guys! Untuk kamu yang lagi cari beasiswa, UPH bekerja sama dengan Berita Satu dan PT. Link Net, tbk (First Media… https://t.co/szEgcrG5AW"
632,@rifandhini Hi First People. Terima kasih telah berlangganan layanan First Media dan mohon maaf atas ketidaknyamanan sebelumnya. Tks ^Fjr
633,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
634,first media lagi kenapa si -_-
635,@KaiFangirls__ Selamat siang First People. Perihal prosedur pemutusan berlangganan First Media selambatnya 14 hari… https://t.co/rWxI7dMBtX
636,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
637,"RT @afaz577: Media soc xsmua boleh kita nk luah atau post gambar , ya aku tgok ramai yang jenis suka post full body n eye contact dengan ca…"
638,@realt0uch Hi First People. Terima kasih telah berlangganan layanan First Media dan mohon maaf atas ketidaknyamanan… https://t.co/u6fXsS6rwu
639,@ubi_yakiimo Hi First People. Terima kasih telah berlangganan layanan First Media dan mohon maaf atas ketidaknyaman… https://t.co/LdmiyaXzqC
640,@kelapatidakmuda Hi First People. Utk kelebihan pembayaran nantinya akan menjadi deposit blan selanjutnya ya Pak /… https://t.co/TtO6ZYM8mM
641,"ini first media emang lagi error ya?
dari tadi pagi gak bisa-bisa njirr"
642,First media rumah gue berdosa banget  🚶‍♀️ https://t.co/xtwNlevtGo
643,Chorme sudah bisa di akses belum menggunakan first media? @FirstMediaCares
644,@dimaszarya Hi First People. Terima kasih telah berlangganan layanan First Media dan mohon maaf atas ketidaknyamana… https://t.co/QhStD2VsXk
645,"@hari_widodo Hi First People. Baik, terima kasih ya sdh berlangganan First Media dan mhn maaf utk ketidaknyamanan sblmnya. Salam. ^gkh"
646,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
647,"@FirstMediaCares no pelanggan 93130601, dari tanggal 31 Des 2020 internet on 4 menit, off 4-5 jam. di info lwt emai… https://t.co/8HdZyuG9KJ"
648,"@FirstMediaCares Siang admin, utk paket pemasangan baru first media apakah bisa jika hanya berlangganan paket internetnya saja?"
649,"@superzey_ Selamat Siang First People, kami cek layanan First Media di area terindikasi gangguan jaringan dan telah… https://t.co/SX9Kq3C9V7"
650,@fikrielfrana   Selamat siang First People. Informasi mengenai prosedur pemutusan berlangganan First Media selambat… https://t.co/E9nk6eDIna
651,"@FirstMediaCares Saya kepaksa keluar, nyari wifi urgent ada kerjaan, emang database anda gak kedetect dari no pelan… https://t.co/L5A1YhvSd6"
652,"@FirstMediaCares Dear mimin first media, saya mau  berhenti berlangganan, ID : 11090410 karena mau pindah tempat. T… https://t.co/9hwFHf0sPq"
653,"@FirstMediaCares min, first media ku offline sejak tgl 1 tv dan wifinya tdk bisa pdhal di aplikasi normal. Mohon solusinya"
654,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
655,"@dea_deaputri Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
656,"@FirstMediaCares Hari ini harus dateng dong saya harus kerja!!!! Ah gembel amat pelayanan first media ampun dah, 500rb sia sia perbulan."
657,"@FirstMediaCares “Sudah kami Sudah” ngetik aja ga bisa apa lagi bikin pelayanan bagus, gangguan mulu internetnya bu… https://t.co/e071oNmRgv"
658,"@FirstMediaCares Jelek amat pelayanannya bayar 500rb perbulan internet mati seharian ga ada kompensasi lagi, first… https://t.co/vF6xKSSPPU"
659,@FirstMediaCares Hari ini dateng benerin modemnya siapa aja yang dateng manager customer service atau manager maunt… https://t.co/G9WRcCGRI1
660,@test42467825 Hi First People. Mohon maaf atas ketidaknyamanannya. Kami sampaikan informasi mengenai prosedur pemut… https://t.co/tCvH2lqimt
661,"@FirstMediaCares selamat siang min, apakah jaringan internet first media sedang bermasalah? Kenapa wifi di rumah saya tidak bisa digunakan?"
662,"@FirstMediaCares udah hampir 10 tahun make first media kok malah direpotin kayak begini si, bukannya peningkatan se… https://t.co/ty7k5OyVt4"
663,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
664,@jevanoadn first media mati idup anjrit jelegg
665,@jevanoadn first media lebih ngaco
666,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
667,"@princeemoomin Hi First People. Baik, terima kasih ya sdh berlangganan First Media dan mhn maaf utk ketidaknyamanan sblmnya. Salam. ^gkh"
668,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
669,"@MRyan_Official HI First People. Mohon maaf atas ketidaknyamannya, mohon menunggu update teknisi kami ya. Terima ka… https://t.co/GyKR7qOkyq"
670,RT @nrsyzlyana_: bukan first media https://t.co/TbKhO28A2A
671,@FirstMediaCares Gmana nih first media layanannya kok teknisinya belum datang.
672,"@ArumNina Selamat Pagi First People. Baik, Mohon maaf atas ketidaknyamanan yg dialami sebelumnya dan terima kasih t… https://t.co/pOr0jDS8FE"
673,Selama 2 tahun berlangganan gk pernah yg namanya rusak lebih dari 1x24 jam. Kalau ada kerusakan jaringan gitu biasa… https://t.co/DWwphWMAmV
674,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
675,"First media, untuk paket tv dan inet terbilang murah, trouble tergantung situasi, tp overall menyenangkan. Paling i… https://t.co/NRnUSSZHTy"
676,@Wood19742 Selamat pagi First People. Mohon maaf atas ketidaknyamanannya. Saat ini kami cek ID 10511756 sedang tida… https://t.co/kkDYURP2w8
677,"Mau marah banget sama first media, MASA GANGGUAN NYA TIAP HARI!!!!!
Literally tiap hari anj, kaloga gangguan daerah… https://t.co/wdPGinKMSO"
678,"Semalam #Bitcoin alias $BTC kembali mencetak Harga Tertinggi Sepanjang Masa hampir mencapai $33K per #Coin 

Apakah… https://t.co/J70csuvzAM"
679,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
680,"@buset_18  HI First People, mhn maaf atas ketidaknyamanan ya. Saat ini area sdg mengalami perbaikan jaringan First… https://t.co/FD4OLiGrGQ"
681,"Halo Sobat Chako dan Chika🙆🙆
Bagaimana nih kabarnya, tetap semangat ya walaupun di situasi pandemi ini🥰
.
Chako &amp; C… https://t.co/YfAaWONJ4m"
682,@lenialen Selamat pagi First People. Mengenai prosedur pemutusan berlangganan First Media selambat-lambatnya 14 har… https://t.co/C2MVf41bcz
683,"@FirstMediaCares untuk nomor pelanggan 11547735 , ingin berhenti langganan first media football, first mediax, dan… https://t.co/WabYdhIZ4u"
684,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
685,"@andrsdeto . Selamat Pagi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8… https://t.co/U5XjzlNsRr"
686,@VVisnu00aji Hi First People. Perihal prosedur pemutusan berlangganan First Media selambatnya 14 hari kerja sebelum… https://t.co/AgyWZ0oL2t
687,RT @nrsyzlyana_: bukan first media https://t.co/TbKhO28A2A
688,RT @axkfpe: muka taksiap lagi ni..huaa first media sementara confident 😭insecure nanti delete hshs https://t.co/9zMu2MZQcl
689,@bonid Hi First People. Terima kasih telah berlangganan layanan First Media dan mohon maaf atas ketidaknyamanan seb… https://t.co/s5rmcfOw0g
690,"2015 Gak Jamannya TV pake Antena, ayoo pasang FIRST MEDIA TV KABEL KUALITAS HD - info: FirstMediaMlg https://t.co/DivHR3Yffk"
691,RT @nrsyzlyana_: bukan first media https://t.co/TbKhO28A2A
692,@gothic4t Aku first media sih😜❤️
693,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
694,Apa²an masih pagi tp first media udah ngadat
695,"@orbit85849037  Selamat Pagi First People. Mohon maaf, mohon follow account kami agar kami dapat informasikan detai… https://t.co/wolJpR8HvN"
696,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
697,"@FirstMediaCares @synergya_ kemarin 2 saya mau bayar tagihan first media,tapi tagihannya 2 kali lipat dari biasa ny… https://t.co/J0FKlVLLHW"
698,"@lxsysxl  HI First People. Mohon maaf atas ketidaknyamannya. Terima kasih sdh berlangganan First Media, kami akan b… https://t.co/L4jsCXseey"
699,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
700,"RT @afaz577: Media soc xsmua boleh kita nk luah atau post gambar , ya aku tgok ramai yang jenis suka post full body n eye contact dengan ca…"
701,RT @nrsyzlyana_: bukan first media https://t.co/TbKhO28A2A
702,"@isawinbfr  Selamat Pagi First People, mhn maaf atas ketidaknyamanan ya. Saat ini area sdg mengalami perbaikan jari… https://t.co/DQ8TMLs0JM"
703,Anggap ni sebagai hukuman untuk kau dan kau dapat tebus dosa kau terhadap aku... Aku akan hide kau dari whatsapp da… https://t.co/8q9wr5dTCA
704,"@test42467825 Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
705,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
706,@Angga39591793 Selamat Pagi First People. Informasi mengenai prosedur pemutusan berlangganan First Media selambat-l… https://t.co/YabefB5MVZ
707,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
708,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
709,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
710,"@andrsdeto Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
711,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
712,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
713,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
714,@mrsaladd Sama kek sinyal first media
715,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
716,@rihadita lu mah nyindir first media gua dah
717,RT @axkfpe: muka taksiap lagi ni..huaa first media sementara confident 😭insecure nanti delete hshs https://t.co/9zMu2MZQcl
718,"@tanyainrl First media juga kadang harus disemprot dulu orgnya baru lancar, kek ga ngejamin"
719,@FirstMediaCares koneksi sudah mati dari jam 19.00. dari situs dibilang gangguan area jadi tidak stabil. Mohon sege… https://t.co/1CL5ydiAvw
720,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
721,first media jgn gitulah cmon im chillin rn
722,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
723,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
724,bukan first media https://t.co/TbKhO28A2A
725,"@cartadeun.  Hi First People, terima kasih telah berlangganan First Media. Tks ^mtq"
726,"@asyarief19881.  Selamat Malam First People, mohon maaf atas ketidaknyamanan, kami cek layanan First Media di area… https://t.co/i9gXEH1BLi"
727,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
728,"@cyberindo Hi First People. Baik Pak/Bu, Terima kasih kembali telah berlangganan layanan First Media dan mohon maaf… https://t.co/3jj5b1MB4J"
729,"@ArumNina.  Selamat Malam First People, mohon maaf atas ketidaknyamanannya. Kami bantu berikan panduan sementara du… https://t.co/alzwQVqvpO"
730,@cyberindo.  Hi First People. Informasi mengenai prosedur pemutusan berlangganan First Media selambat-lambatnya 14… https://t.co/5Ei5YIbzD3
731,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
732,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
733,Berterima kasih kepada https://t.co/pV883QOYlS berkat kamu aku bisa menonton mas aldebaran versi telat dan versi fi… https://t.co/21HH8Yluiu
734,@bebetclalucedih lg emosi sama first media
735,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
736,uda 2021 first media masih aja sampah
737,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
738,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
739,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
740,@masmasjawabgt first media mas lancar jayaa sekalipun kalo ada gangguan gak bakal lama
741,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
742,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
743,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
744,"@masmasjawabgt Xl home fiber, speedy, bolt (?), biznet, first media.. Itu aja yg kutau"
745,"@masmasjawabgt first media katanya bagus, tapi aku pake ind1h0m3"
746,"@masmasjawabgt First media katanya bagus mas, gatau aku team indih0me walaupun lemott😭😭"
747,"@masmasjawabgt first media,aku sih lancar jarang gangguan"
748,mau sampe kpn matinya anjg first media:(
749,"@Agungbu53468547 Selamat Malam First People. Baik Pak/Bu, Terima kasih kembali telah berlangganan layanan First Med… https://t.co/xV7S6d0ftC"
750,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
751,"@JogulambaV TDP JS Kuda cheyaru anedi Oka doubt..trust member TDP Gajapati Raju Garu yemi chestunaaru,TDP social me… https://t.co/4pJG7nqPOU"
752,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
753,please First media.. Kenapa lemot bgt 😭😭😭
754,RT @axkfpe: muka taksiap lagi ni..huaa first media sementara confident 😭insecure nanti delete hshs https://t.co/9zMu2MZQcl
755,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
756,RT @imiskandaridris: Bestnya tengok semua post first media 2021...🥲🥲🥲
757,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
758,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
759,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
760,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
761,@itzsKarthick @Kamali_offcl @Madhu_Maara First biggboss ah koludhanum becz celebrity ah matum Nallavan kettavan kaa… https://t.co/NfWknPBYQV
762,RT @imiskandaridris: Bestnya tengok semua post first media 2021...🥲🥲🥲
763,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
764,RT @axkfpe: muka taksiap lagi ni..huaa first media sementara confident 😭insecure nanti delete hshs https://t.co/9zMu2MZQcl
765,RT @axkfpe: muka taksiap lagi ni..huaa first media sementara confident 😭insecure nanti delete hshs https://t.co/9zMu2MZQcl
766,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
767,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
768,@FirstMediaCares Saya buka dengan wifi first media gabisa https://t.co/Y8D7BprIs8
769,@eemmm24 Hi First People. Mhn maaf atas ketidaknyamanannya dan terima kasih tlh berlangganan First Media. Tks ^Yos
770,RT @imiskandaridris: Bestnya tengok semua post first media 2021...🥲🥲🥲
771,RT @axkfpe: muka taksiap lagi ni..huaa first media sementara confident 😭insecure nanti delete hshs https://t.co/9zMu2MZQcl
772,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
773,"Media soc xsmua boleh kita nk luah atau post gambar , ya aku tgok ramai yang jenis suka post full body n eye contac… https://t.co/jVglhJJMp4"
774,RT @axkfpe: muka taksiap lagi ni..huaa first media sementara confident 😭insecure nanti delete hshs https://t.co/9zMu2MZQcl
775,RT @axkfpe: muka taksiap lagi ni..huaa first media sementara confident 😭insecure nanti delete hshs https://t.co/9zMu2MZQcl
776,RT @axkfpe: muka taksiap lagi ni..huaa first media sementara confident 😭insecure nanti delete hshs https://t.co/9zMu2MZQcl
777,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
778,RT @axkfpe: muka taksiap lagi ni..huaa first media sementara confident 😭insecure nanti delete hshs https://t.co/9zMu2MZQcl
779,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
780,RT @imiskandaridris: Bestnya tengok semua post first media 2021...🥲🥲🥲
781,RT @bersamawawal: Bismillah Assalamualaikum first media tahun 2021 😳 https://t.co/wvGbaB93db
